Efficiency,Id,Identifier,Title,Videos,Readed Videos
52,108,UC8W6--RkixZ6qcsyPGQTUFA,Lee Richardson,47,50
51,202,UCJKLCjeujQj-d3JjsbVtkJw,World of Zero,411,413
51,388,UCF6s_wEjmKaYvAfCyaJlNsA,tutorpraveen,62,62
50,378,UCvqeAqMPotfuA6SPXa4VhNQ,Encore,42,43
49,408,UCiNpRUgrAx3tuTOG-VAmbrA,The Code Wolf,52,52
49,263,UCn2FoDbv_veJB_UbrF93_jw,Bald. Bearded. Builder.,61,61
48,89,UCDAck-gFPTrgTx_qp59-bQA,Mischa van den Burg,191,194
48,63,UCGTUbqE3SJiLgtvWjIkSQuQ,Microsoft Security Community,576,578
47,181,UCKu_xF5kVw23457kt3JuMNQ,Code Radiance,279,279
47,147,UCjC-E0zi1ZokFmshlcq691Q,Chris Patterson,110,111
46,194,UCtoDB5EEbt8C9fX72xjacLg,TechBrothersIT,1913,1913
46,55,UCSD0dLRGQk_T-D3RvpM5aFQ,WeAreDevelopers,734,735
45,79,UCd6MoB9NC6uYN2grvUNT-Zg,Amazon Web Services,16471,16474
45,191,UCbDlgX_613xNMrDqCe3QNEw,Selenium Conference,286,287
43,232,UCfe0F6hVXL8Y-QZqUMhGRDg,Greg Kalapos,35,36
43,381,UCk9J--N-MUmIxz78gHFEteg,Centida BI & Analytics,28,28
42,142,UCD1KhgAYG11kU89yjU5seow,ChilliCream,54,55
41,160,UCo1qVGCiLOYoP0yRcCX5o5w,Tahir Rauf,6,6
41,179,UCn7PViUk4beRM7T9o0y7eXg,Michael Shpilt,3,3
41,405,UC3LLuQ-6j1OQpKKTKwHT_MA,bendtherules,13,13
40,87,UCiaZbznpWV1o-KLxj8zqR6A,.NET Foundation,826,830
40,266,UC0HkS2-1Tk1ULQJj3uGbjdw,TutorialGenius.com,354,354
38,350,UC3hlAHOaD0btSpkogQkIJxQ,Tortellini Soup,68,74
38,196,UCo2T5CWtdbj4NveB5flTD4A,Rainer Stropek,380,380
36,197,UCvPLA3jv4R2kcG7rdxpY9eQ,Spencer Schneidenbach,5,5
36,270,UCxd9eggS8qe5DPpYFeoZDxg,Mark Inman,19,19
35,360,UCARRHRWEvM2Drb30nelsltg,CIVIL++,6,6
34,185,UCbIT88qSziZzmltG3z2w1oQ,Andrew Eberle,97,98
30,269,UCOFUtpf-AKbCXN1nrBL2qcw,newline,245,245
29,249,UCAD-xOOaUI6N7Uq9laOVbcw,Code Therapy w/ René Rebe,1059,1049
27,104,UCQCzjgSa3yBeV1BIYYLf61A,Lets Do Coding,31,33
26,168,UCl-trrNbK2tVCTFTn3QbFkw,andreyka26_se,42,42
25,293,UCnfO7IhkmJu_azn0WbIcV9A,Scaling Postgres,325,325
